Date,Transaction_ID,Type,Amount_EUR,Status,Risk_Score,Region,Analyst_Team
2024-11-01,TX-328680,ACH,9103.44,APPROVED,16,Domestic,Team_Alpha
2024-12-22,TX-982580,SWIFT,6009.84,APPROVED,4,EU_Zone,Team_Beta
2024-11-25,TX-645426,SWIFT,16361.82,APPROVED,12,North_America,Team_Beta
2024-10-04,TX-921816,WIRE_TRANSFER,41095.07,APPROVED,18,EU_Zone,Team_Beta
2024-11-06,TX-129513,SWIFT,25459.35,APPROVED,6,EU_Zone,Team_Alpha
2024-11-23,TX-816719,WIRE_TRANSFER,2937.55,APPROVED,4,EU_Zone,Auto_System
2024-12-08,TX-831250,INTERNAL_TRANSFER,30727.47,APPROVED,3,Domestic,Team_Alpha
2024-11-29,TX-612748,ACH,14594.3,APPROVED,10,Domestic,Team_Beta
2024-11-26,TX-564274,ACH,28627.49,APPROVED,11,Domestic,Auto_System
2024-12-05,TX-287180,SWIFT,5120.65,APPROVED,8,EU_Zone,Team_Alpha
2024-12-13,TX-192001,WIRE_TRANSFER,693874.35,BLOCKED_COMPLIANCE,94,Offshore_Zone,Team_Alpha
2024-11-27,TX-749742,INTERNAL_TRANSFER,18493.19,APPROVED,14,North_America,Auto_System
2024-10-13,TX-297994,SWIFT,3864.3,APPROVED,5,Domestic,Team_Alpha
2024-12-16,TX-488477,INTERNAL_TRANSFER,28629.17,APPROVED,9,EU_Zone,Team_Beta
2024-10-23,TX-539490,ACH,9922.97,APPROVED,11,North_America,Team_Beta
2024-10-07,TX-423174,WIRE_TRANSFER,42542.55,APPROVED,11,North_America,Auto_System
2024-12-16,TX-591908,INTERNAL_TRANSFER,6374.23,APPROVED,1,Domestic,Auto_System
2024-12-12,TX-167308,ACH,23087.15,APPROVED,10,North_America,Auto_System
2024-11-13,TX-883282,WIRE_TRANSFER,28569.4,APPROVED,3,North_America,Team_Beta
2024-11-25,TX-761221,INTERNAL_TRANSFER,30131.01,APPROVED,8,Domestic,Auto_System
2024-10-25,TX-569124,SWIFT,34728.33,APPROVED,12,North_America,Team_Alpha
2024-12-08,TX-471582,SWIFT,8275.12,APPROVED,13,Domestic,Team_Beta
2024-10-11,TX-404471,SWIFT,49000.26,APPROVED,8,North_America,Team_Beta
2024-10-12,TX-301518,WIRE_TRANSFER,47910.92,APPROVED,3,North_America,Team_Alpha
2024-11-18,TX-910612,WIRE_TRANSFER,15239.94,APPROVED,15,EU_Zone,Team_Alpha
2024-11-11,TX-519386,ACH,15205.65,MANUAL_REVIEW,63,APAC_Emerging,Team_Beta
2024-12-08,TX-456905,ACH,8710.23,APPROVED,18,North_America,Auto_System
2024-10-25,TX-930668,INTERNAL_TRANSFER,23841.4,APPROVED,8,North_America,Auto_System
2024-11-16,TX-536528,WIRE_TRANSFER,9375.47,APPROVED,4,Domestic,Team_Alpha
2024-12-07,TX-540628,INTERNAL_TRANSFER,16765.43,MANUAL_REVIEW,63,EU_Non_Member,Team_Beta
2024-12-14,TX-490347,SWIFT,341888.62,BLOCKED_COMPLIANCE,89,Offshore_Zone,Auto_System
2024-10-03,TX-157050,INTERNAL_TRANSFER,23336.59,APPROVED,19,EU_Zone,Auto_System
2024-11-14,TX-260323,INTERNAL_TRANSFER,14452.22,APPROVED,12,North_America,Team_Beta
2024-12-14,TX-557282,INTERNAL_TRANSFER,39767.59,APPROVED,18,EU_Zone,Team_Alpha
2024-10-29,TX-700251,WIRE_TRANSFER,3589.27,APPROVED,15,EU_Zone,Team_Beta
2024-10-07,TX-680026,INTERNAL_TRANSFER,42666.34,APPROVED,7,EU_Zone,Team_Beta
2024-10-19,TX-601193,ACH,30875.49,APPROVED,13,North_America,Team_Beta
2024-10-20,TX-517214,WIRE_TRANSFER,12040.53,APPROVED,10,Domestic,Team_Beta
2024-11-22,TX-117483,WIRE_TRANSFER,6131.04,APPROVED,17,North_America,Team_Alpha
2024-12-15,TX-612278,INTERNAL_TRANSFER,46391.68,APPROVED,3,EU_Zone,Auto_System
2024-11-06,TX-725783,INTERNAL_TRANSFER,43570.83,APPROVED,20,EU_Zone,Team_Beta
2024-12-03,TX-267572,INTERNAL_TRANSFER,77269.19,MANUAL_REVIEW,81,EU_Non_Member,Auto_System
2024-10-05,TX-385719,WIRE_TRANSFER,10398.39,APPROVED,17,Domestic,Team_Beta
2024-12-04,TX-882907,SWIFT,23882.62,APPROVED,7,EU_Zone,Team_Alpha
2024-12-22,TX-245852,INTERNAL_TRANSFER,139912.07,MANUAL_REVIEW,76,EU_Non_Member,Team_Beta
2024-10-31,TX-948075,ACH,552985.73,BLOCKED_COMPLIANCE,85,High_Risk_Jurisdiction,Team_Alpha
2024-11-30,TX-971168,SWIFT,86317.59,MANUAL_REVIEW,76,APAC_Emerging,Team_Beta
2024-10-19,TX-751600,INTERNAL_TRANSFER,4193.92,APPROVED,13,Domestic,Auto_System
2024-10-05,TX-266955,SWIFT,7173.95,APPROVED,8,EU_Zone,Team_Beta
2024-11-24,TX-355595,SWIFT,22366.14,APPROVED,3,North_America,Team_Alpha
2024-11-26,TX-308925,WIRE_TRANSFER,802745.24,BLOCKED_COMPLIANCE,91,High_Risk_Jurisdiction,Team_Beta
2024-12-15,TX-648538,ACH,29957.33,APPROVED,19,EU_Zone,Auto_System
2024-11-05,TX-129121,WIRE_TRANSFER,4260.32,APPROVED,20,EU_Zone,Team_Alpha
2024-12-11,TX-726586,WIRE_TRANSFER,31891.23,APPROVED,17,North_America,Auto_System
2024-10-02,TX-871479,WIRE_TRANSFER,14543.88,APPROVED,6,North_America,Team_Beta
2024-11-20,TX-476695,ACH,40389.77,APPROVED,2,North_America,Team_Alpha
2024-10-11,TX-538412,INTERNAL_TRANSFER,115920.47,MANUAL_REVIEW,68,APAC_Emerging,Auto_System
2024-11-11,TX-496126,SWIFT,10476.44,MANUAL_REVIEW,81,EU_Non_Member,Auto_System
2024-10-10,TX-890234,WIRE_TRANSFER,39023.77,APPROVED,4,EU_Zone,Team_Beta
2024-11-22,TX-807552,SWIFT,49887.54,APPROVED,6,EU_Zone,Team_Alpha
2024-10-01,TX-489552,SWIFT,16678.89,APPROVED,10,Domestic,Team_Alpha
2024-11-10,TX-216933,ACH,754934.05,BLOCKED_COMPLIANCE,90,Offshore_Zone,Auto_System
2024-12-25,TX-316828,SWIFT,7110.63,APPROVED,15,North_America,Team_Alpha
2024-12-21,TX-985762,INTERNAL_TRANSFER,23059.99,APPROVED,5,Domestic,Team_Beta
2024-10-31,TX-705827,INTERNAL_TRANSFER,19298.97,APPROVED,16,North_America,Auto_System
2024-11-05,TX-571183,SWIFT,35483.78,APPROVED,3,Domestic,Team_Beta
2024-12-08,TX-797082,WIRE_TRANSFER,238092.57,BLOCKED_COMPLIANCE,99,High_Risk_Jurisdiction,Auto_System
2024-12-28,TX-132699,INTERNAL_TRANSFER,923458.59,BLOCKED_COMPLIANCE,87,Offshore_Zone,Auto_System
2024-11-22,TX-624749,WIRE_TRANSFER,37922.36,APPROVED,20,EU_Zone,Team_Beta
2024-12-15,TX-845507,WIRE_TRANSFER,113205.3,MANUAL_REVIEW,62,EU_Non_Member,Team_Alpha
2024-10-08,TX-669640,WIRE_TRANSFER,586044.31,BLOCKED_COMPLIANCE,92,High_Risk_Jurisdiction,Auto_System
2024-12-14,TX-142570,WIRE_TRANSFER,35261.67,APPROVED,12,Domestic,Auto_System
2024-10-13,TX-318436,WIRE_TRANSFER,22309.88,APPROVED,11,EU_Zone,Team_Beta
2024-12-13,TX-560762,ACH,37288.82,APPROVED,16,EU_Zone,Team_Beta
2024-10-22,TX-500142,WIRE_TRANSFER,518492.47,BLOCKED_COMPLIANCE,94,High_Risk_Jurisdiction,Team_Alpha
2024-11-19,TX-604142,SWIFT,14721.4,APPROVED,3,North_America,Auto_System
2024-10-15,TX-551946,WIRE_TRANSFER,13482.52,MANUAL_REVIEW,77,EU_Non_Member,Auto_System
2024-10-19,TX-215729,ACH,43596.94,APPROVED,6,EU_Zone,Team_Alpha
2024-12-27,TX-211180,ACH,14594.59,APPROVED,15,Domestic,Team_Beta
2024-12-16,TX-630028,ACH,29725.97,APPROVED,7,EU_Zone,Team_Alpha
2024-10-18,TX-360334,SWIFT,986.5,APPROVED,3,Domestic,Team_Beta
2024-12-11,TX-982439,ACH,128337.82,MANUAL_REVIEW,82,APAC_Emerging,Team_Beta
2024-12-23,TX-656136,ACH,5275.17,APPROVED,3,EU_Zone,Team_Alpha
2024-11-07,TX-207071,ACH,22246.92,APPROVED,18,North_America,Auto_System
2024-10-20,TX-590879,SWIFT,49047.73,APPROVED,9,North_America,Team_Beta
2024-12-27,TX-845266,ACH,43946.36,APPROVED,8,Domestic,Team_Beta
2024-11-09,TX-462130,SWIFT,34785.01,APPROVED,13,EU_Zone,Team_Alpha
2024-12-28,TX-488970,ACH,9249.94,APPROVED,7,North_America,Team_Beta
2024-12-23,TX-135913,ACH,27197.51,APPROVED,6,North_America,Team_Beta
2024-11-20,TX-370369,INTERNAL_TRANSFER,109035.16,MANUAL_REVIEW,64,EU_Non_Member,Auto_System
2024-12-24,TX-594913,WIRE_TRANSFER,40818.42,APPROVED,13,EU_Zone,Team_Alpha
2024-10-01,TX-230248,ACH,22714.18,APPROVED,7,EU_Zone,Team_Alpha
2024-11-24,TX-980833,SWIFT,44558.69,APPROVED,2,Domestic,Team_Alpha
2024-12-18,TX-759662,ACH,21543.19,APPROVED,6,Domestic,Team_Beta
2024-11-10,TX-703787,WIRE_TRANSFER,11174.94,APPROVED,18,North_America,Team_Alpha
2024-12-06,TX-289541,SWIFT,45158.37,APPROVED,3,North_America,Team_Alpha
2024-11-25,TX-735355,SWIFT,3558.79,APPROVED,19,North_America,Auto_System
2024-10-02,TX-760517,ACH,19773.33,APPROVED,7,North_America,Auto_System
2024-10-29,TX-294908,WIRE_TRANSFER,47649.39,APPROVED,2,EU_Zone,Team_Alpha
2024-10-03,TX-144922,WIRE_TRANSFER,82801.5,MANUAL_REVIEW,68,EU_Non_Member,Team_Beta
2024-11-13,TX-955499,ACH,148589.43,MANUAL_REVIEW,78,APAC_Emerging,Team_Alpha
2024-12-04,TX-278877,INTERNAL_TRANSFER,15355.86,APPROVED,20,Domestic,Team_Beta
2024-12-29,TX-363725,INTERNAL_TRANSFER,2134.62,APPROVED,5,EU_Zone,Auto_System
2024-10-09,TX-274463,INTERNAL_TRANSFER,133772.9,MANUAL_REVIEW,70,APAC_Emerging,Team_Beta
2024-12-13,TX-573417,ACH,94050.16,MANUAL_REVIEW,71,APAC_Emerging,Auto_System
2024-10-09,TX-488532,INTERNAL_TRANSFER,11134.13,APPROVED,20,EU_Zone,Auto_System
2024-11-25,TX-715642,WIRE_TRANSFER,16390.15,APPROVED,20,North_America,Team_Alpha
2024-12-21,TX-855812,SWIFT,7535.14,APPROVED,3,North_America,Auto_System
2024-10-08,TX-379943,SWIFT,14154.29,APPROVED,3,North_America,Team_Beta
2024-12-08,TX-226620,SWIFT,4013.42,APPROVED,16,Domestic,Auto_System
2024-11-09,TX-813339,INTERNAL_TRANSFER,30508.85,APPROVED,15,North_America,Team_Beta
2024-12-01,TX-138649,WIRE_TRANSFER,42362.42,APPROVED,17,EU_Zone,Auto_System
2024-12-27,TX-945635,SWIFT,747523.46,BLOCKED_COMPLIANCE,89,Offshore_Zone,Team_Alpha
2024-10-27,TX-994454,INTERNAL_TRANSFER,22046.4,APPROVED,6,Domestic,Team_Alpha
2024-11-14,TX-512973,SWIFT,30457.3,APPROVED,16,Domestic,Auto_System
2024-12-28,TX-826764,INTERNAL_TRANSFER,734656.43,BLOCKED_COMPLIANCE,89,High_Risk_Jurisdiction,Team_Beta
2024-10-01,TX-716494,INTERNAL_TRANSFER,46449.94,APPROVED,13,North_America,Team_Alpha
2024-12-18,TX-795911,SWIFT,39326.01,APPROVED,4,North_America,Team_Alpha
2024-10-03,TX-393482,WIRE_TRANSFER,28742.42,APPROVED,9,North_America,Team_Alpha
2024-11-03,TX-405711,ACH,63493.76,MANUAL_REVIEW,82,APAC_Emerging,Auto_System
2024-12-13,TX-244357,ACH,26522.27,APPROVED,14,North_America,Auto_System
2024-10-02,TX-432092,ACH,366691.87,BLOCKED_COMPLIANCE,93,High_Risk_Jurisdiction,Auto_System
2024-11-12,TX-485638,SWIFT,15509.17,APPROVED,5,Domestic,Team_Alpha
2024-12-28,TX-859071,ACH,29689.2,APPROVED,13,EU_Zone,Team_Beta
2024-11-15,TX-372523,WIRE_TRANSFER,42194.52,APPROVED,1,North_America,Team_Alpha
2024-10-04,TX-738265,SWIFT,62281.29,MANUAL_REVIEW,76,APAC_Emerging,Team_Alpha
2024-10-07,TX-123738,INTERNAL_TRANSFER,41641.62,APPROVED,12,North_America,Auto_System
2024-12-03,TX-433411,ACH,20299.25,APPROVED,2,Domestic,Team_Alpha
2024-12-13,TX-935071,SWIFT,40156.3,APPROVED,14,Domestic,Team_Alpha
2024-11-03,TX-296627,SWIFT,10393.43,APPROVED,2,North_America,Team_Beta
2024-12-18,TX-350835,INTERNAL_TRANSFER,17427.87,APPROVED,17,Domestic,Auto_System
2024-10-31,TX-763632,WIRE_TRANSFER,23882.45,APPROVED,2,North_America,Team_Beta
2024-11-28,TX-736082,INTERNAL_TRANSFER,47501.87,APPROVED,11,Domestic,Auto_System
2024-10-05,TX-402901,ACH,45373.95,APPROVED,19,North_America,Team_Alpha
2024-11-25,TX-667879,SWIFT,47411.2,APPROVED,19,EU_Zone,Team_Alpha
2024-10-20,TX-272301,SWIFT,756845.32,BLOCKED_COMPLIANCE,85,Offshore_Zone,Team_Alpha
2024-12-22,TX-120614,WIRE_TRANSFER,27068.29,APPROVED,20,EU_Zone,Team_Alpha
2024-11-19,TX-992639,INTERNAL_TRANSFER,39421.31,MANUAL_REVIEW,72,EU_Non_Member,Team_Beta
2024-11-06,TX-298544,INTERNAL_TRANSFER,45601.94,APPROVED,10,EU_Zone,Team_Beta
2024-12-07,TX-354513,WIRE_TRANSFER,8847.14,APPROVED,20,EU_Zone,Team_Beta
2024-10-18,TX-148379,WIRE_TRANSFER,5226.09,APPROVED,20,EU_Zone,Team_Alpha
2024-11-23,TX-733588,WIRE_TRANSFER,40598.49,APPROVED,13,North_America,Team_Beta
2024-11-22,TX-711785,WIRE_TRANSFER,28780.17,APPROVED,9,Domestic,Team_Beta
2024-10-11,TX-800093,ACH,13772.89,APPROVED,3,Domestic,Auto_System
2024-11-01,TX-951300,INTERNAL_TRANSFER,15149.54,APPROVED,19,Domestic,Team_Beta
2024-10-04,TX-901263,SWIFT,15990.67,APPROVED,3,EU_Zone,Auto_System
2024-10-26,TX-252553,INTERNAL_TRANSFER,29426.0,APPROVED,11,Domestic,Team_Beta
2024-11-28,TX-315668,INTERNAL_TRANSFER,26302.02,APPROVED,8,North_America,Team_Alpha
2024-10-20,TX-281449,SWIFT,20694.0,APPROVED,5,EU_Zone,Team_Beta
2024-10-25,TX-200554,ACH,13068.34,APPROVED,6,EU_Zone,Auto_System
2024-11-05,TX-720537,WIRE_TRANSFER,22079.31,APPROVED,14,North_America,Team_Alpha
2024-10-13,TX-232729,SWIFT,31072.5,APPROVED,1,EU_Zone,Auto_System
2024-11-05,TX-265249,WIRE_TRANSFER,24196.46,APPROVED,4,North_America,Team_Beta
2024-10-25,TX-759027,ACH,49546.32,APPROVED,7,EU_Zone,Team_Beta
2024-10-03,TX-460631,WIRE_TRANSFER,31741.23,APPROVED,19,EU_Zone,Team_Alpha
2024-11-20,TX-245408,WIRE_TRANSFER,3946.4,APPROVED,4,Domestic,Team_Beta
2024-10-16,TX-804143,INTERNAL_TRANSFER,33130.71,APPROVED,13,EU_Zone,Auto_System
2024-12-08,TX-811862,ACH,16412.77,APPROVED,18,Domestic,Auto_System
2024-10-21,TX-204954,ACH,41395.96,APPROVED,5,EU_Zone,Auto_System
2024-10-27,TX-918571,WIRE_TRANSFER,31799.16,APPROVED,4,North_America,Team_Beta
2024-12-12,TX-715643,ACH,10270.24,APPROVED,4,Domestic,Auto_System
2024-11-01,TX-329700,ACH,33234.27,APPROVED,8,Domestic,Auto_System
2024-12-10,TX-787865,SWIFT,44967.1,APPROVED,20,North_America,Auto_System
2024-12-01,TX-910900,ACH,2841.92,APPROVED,20,North_America,Auto_System
2024-10-11,TX-589355,WIRE_TRANSFER,35702.74,APPROVED,14,EU_Zone,Team_Alpha
2024-12-14,TX-369302,SWIFT,15045.87,MANUAL_REVIEW,70,EU_Non_Member,Auto_System
2024-11-18,TX-268384,INTERNAL_TRANSFER,25130.26,APPROVED,18,North_America,Team_Beta
2024-12-29,TX-966211,ACH,33762.17,APPROVED,8,North_America,Team_Alpha
2024-11-20,TX-142104,SWIFT,37613.1,APPROVED,3,EU_Zone,Team_Beta
2024-12-29,TX-310267,SWIFT,37018.86,APPROVED,17,EU_Zone,Team_Beta
2024-10-06,TX-716905,WIRE_TRANSFER,82863.83,MANUAL_REVIEW,77,EU_Non_Member,Team_Alpha
2024-12-29,TX-853738,INTERNAL_TRANSFER,860331.51,BLOCKED_COMPLIANCE,98,High_Risk_Jurisdiction,Auto_System
2024-11-03,TX-688776,ACH,49020.87,APPROVED,16,Domestic,Team_Alpha
2024-11-22,TX-666591,ACH,7517.79,APPROVED,7,North_America,Auto_System
2024-10-21,TX-554622,ACH,49307.35,APPROVED,3,Domestic,Team_Alpha
2024-11-05,TX-294933,WIRE_TRANSFER,48778.92,APPROVED,1,North_America,Team_Beta
2024-10-14,TX-337945,WIRE_TRANSFER,45245.69,APPROVED,16,Domestic,Team_Beta
2024-11-03,TX-979210,INTERNAL_TRANSFER,32343.36,APPROVED,9,Domestic,Team_Alpha
2024-11-04,TX-201195,INTERNAL_TRANSFER,30632.96,APPROVED,10,Domestic,Team_Alpha
2024-11-07,TX-478116,WIRE_TRANSFER,33574.14,APPROVED,20,Domestic,Auto_System
2024-11-23,TX-389089,ACH,5321.77,APPROVED,2,North_America,Team_Beta
2024-10-17,TX-206273,ACH,20030.99,APPROVED,2,Domestic,Team_Alpha
2024-11-25,TX-869689,SWIFT,30991.94,APPROVED,12,Domestic,Team_Beta
2024-10-24,TX-240257,WIRE_TRANSFER,2655.11,APPROVED,13,North_America,Team_Beta
2024-10-23,TX-429339,SWIFT,41734.72,APPROVED,17,Domestic,Auto_System
2024-10-22,TX-272463,SWIFT,16544.57,APPROVED,17,North_America,Team_Alpha
2024-10-17,TX-383082,SWIFT,43957.4,APPROVED,4,Domestic,Team_Alpha
2024-10-01,TX-957778,INTERNAL_TRANSFER,12600.26,APPROVED,4,North_America,Team_Beta
2024-12-08,TX-809569,WIRE_TRANSFER,24051.84,APPROVED,12,North_America,Team_Alpha
2024-10-18,TX-984034,INTERNAL_TRANSFER,1030.54,APPROVED,2,EU_Zone,Team_Alpha
2024-10-03,TX-222196,ACH,5082.83,APPROVED,13,EU_Zone,Team_Alpha
2024-11-11,TX-999025,WIRE_TRANSFER,25248.52,APPROVED,17,Domestic,Team_Beta
2024-10-25,TX-647479,WIRE_TRANSFER,5109.06,APPROVED,3,North_America,Auto_System
2024-11-28,TX-302380,WIRE_TRANSFER,41205.26,APPROVED,13,North_America,Team_Beta
2024-12-05,TX-305685,SWIFT,20039.04,APPROVED,1,EU_Zone,Team_Beta
2024-11-10,TX-794753,WIRE_TRANSFER,602062.97,BLOCKED_COMPLIANCE,90,High_Risk_Jurisdiction,Team_Beta
2024-11-15,TX-930714,SWIFT,647.46,APPROVED,17,North_America,Team_Beta
2024-10-22,TX-756717,INTERNAL_TRANSFER,7687.58,APPROVED,3,North_America,Team_Alpha
2024-12-05,TX-848530,SWIFT,20485.06,APPROVED,3,EU_Zone,Auto_System
2024-12-10,TX-418312,ACH,24518.13,APPROVED,9,EU_Zone,Team_Beta
2024-12-25,TX-286850,SWIFT,94050.95,MANUAL_REVIEW,60,EU_Non_Member,Team_Beta
2024-12-11,TX-489541,WIRE_TRANSFER,14619.06,APPROVED,20,North_America,Team_Alpha
2024-10-11,TX-595259,SWIFT,43425.47,APPROVED,18,North_America,Team_Alpha
2024-12-28,TX-674370,INTERNAL_TRANSFER,43826.38,APPROVED,20,North_America,Team_Alpha
2024-12-05,TX-427709,ACH,928105.48,BLOCKED_COMPLIANCE,92,High_Risk_Jurisdiction,Team_Alpha
2024-10-05,TX-945199,WIRE_TRANSFER,28586.43,MANUAL_REVIEW,75,EU_Non_Member,Team_Beta
2024-12-08,TX-837247,WIRE_TRANSFER,42354.6,APPROVED,16,EU_Zone,Team_Alpha
2024-10-19,TX-278338,WIRE_TRANSFER,23294.96,APPROVED,2,Domestic,Team_Alpha
2024-12-19,TX-427215,INTERNAL_TRANSFER,26471.66,MANUAL_REVIEW,77,APAC_Emerging,Auto_System
2024-12-12,TX-598188,WIRE_TRANSFER,37584.34,APPROVED,17,North_America,Auto_System
2024-10-28,TX-520437,SWIFT,4380.92,APPROVED,15,EU_Zone,Team_Alpha
2024-10-24,TX-448662,ACH,131742.89,MANUAL_REVIEW,75,APAC_Emerging,Auto_System
2024-10-03,TX-230344,SWIFT,4056.26,APPROVED,11,EU_Zone,Auto_System
2024-12-05,TX-182119,ACH,23846.4,APPROVED,2,Domestic,Auto_System
2024-12-04,TX-357951,WIRE_TRANSFER,33334.42,APPROVED,1,North_America,Team_Beta
2024-12-20,TX-903660,INTERNAL_TRANSFER,11880.15,APPROVED,9,EU_Zone,Team_Alpha
2024-10-12,TX-924460,INTERNAL_TRANSFER,126180.6,MANUAL_REVIEW,77,EU_Non_Member,Team_Beta
2024-11-12,TX-706170,ACH,30131.69,APPROVED,19,Domestic,Team_Beta
2024-11-07,TX-661233,WIRE_TRANSFER,42888.33,APPROVED,8,Domestic,Team_Alpha
2024-11-24,TX-109236,INTERNAL_TRANSFER,14929.25,APPROVED,9,EU_Zone,Team_Beta
2024-12-06,TX-404441,WIRE_TRANSFER,12824.47,APPROVED,4,North_America,Auto_System
2024-10-26,TX-802641,WIRE_TRANSFER,45945.55,APPROVED,1,North_America,Team_Alpha
2024-12-15,TX-250823,INTERNAL_TRANSFER,19821.52,APPROVED,14,Domestic,Auto_System
2024-11-26,TX-267780,WIRE_TRANSFER,10544.07,APPROVED,19,Domestic,Team_Beta
2024-11-12,TX-585330,SWIFT,28413.21,APPROVED,5,Domestic,Auto_System
2024-10-18,TX-128009,WIRE_TRANSFER,38347.51,APPROVED,7,North_America,Auto_System
2024-11-19,TX-377998,WIRE_TRANSFER,42845.8,APPROVED,14,EU_Zone,Team_Alpha
2024-10-03,TX-484581,WIRE_TRANSFER,15421.6,APPROVED,20,EU_Zone,Team_Beta
2024-10-06,TX-109794,ACH,15819.51,APPROVED,12,North_America,Team_Alpha
2024-11-30,TX-344160,ACH,18807.1,APPROVED,11,EU_Zone,Team_Beta
2024-10-29,TX-107549,SWIFT,29529.55,APPROVED,2,Domestic,Auto_System
2024-11-23,TX-261602,ACH,26761.66,APPROVED,13,North_America,Team_Beta
2024-11-03,TX-205293,ACH,663499.27,BLOCKED_COMPLIANCE,91,Offshore_Zone,Team_Beta
2024-10-23,TX-469633,ACH,42134.86,APPROVED,9,Domestic,Team_Beta
2024-10-18,TX-903346,INTERNAL_TRANSFER,13230.79,APPROVED,9,Domestic,Auto_System
